date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2025-12-06,54526,58804,71736,93839,24387,02396,21428,75892,07677,81473,1715,3121,0995,3896,0047,7223,7775,1049,5130,4078,311,191,630,03,82,12,14
2025-12-07,03626,22150,36905,57384,23871,48502,78146,38165,80593,21798,2676,2257,8665,9560,0862,3248,6208,6316,5488,8331,377,095,490,59,71,31,48
2025-12-08,53192,88606,75701,91603,18578,92015,07235,54211,88745,38758,6663,2845,7986,4169,1416,0965,3024,3303,4977,7819,447,034,136,19,59,01,57
2025-12-09,72908,81487,49415,49770,40950,62677,84708,78709,89403,20485,9306,5836,6014,0370,4841,4019,7188,7213,4413,0282,974,352,054,69,07,59,95
2025-12-10,51052,27999,83157,26124,95225,78632,70315,59675,35239,77901,9240,0832,8067,8094,0502,2316,6014,2078,7678,9725,264,231,162,18,96,61,33
2025-12-11,52668,63189,48437,50331,90032,97334,85232,51721,54236,18472,8314,1629,4095,7837,3047,9912,4318,9603,9072,5601,996,689,242,46,08,58,85
2025-12-12,97836,34933,10767,45403,77511,06614,75824,46853,66262,00662,2000,1733,7056,3694,2960,5978,1310,8275,3400,3117,095,715,254,93,44,58,76
2025-12-13,30753,22200,82942,61722,91913,59268,71581,96909,39714,62130,1363,0888,9161,6160,2996,5662,4724,6168,1159,6927,230,946,852,60,83,33,10
2025-12-14,56968,96640,63379,27081,40810,37171,46946,09683,59839,70212,0600,4119,8910,2535,0068,9228,4422,7697,6907,3148,962,614,898,66,58,31,76
2025-12-15,74093,96630,68615,86968,65344,91665,04614,95202,50633,37176,7494,7538,4817,3206,0029,4516,9885,5189,1252,3664,597,253,521,40,30,96,08
2025-12-16,53792,87494,59610,06526,27782,67082,31000,66897,38041,14131,8878,0082,5073,1134,4302,4101,9005,8276,5713,7158,509,291,871,27,57,50,58
2025-12-17,74484,55289,89467,60501,20748,11435,37692,74459,21115,10032,4215,9396,2353,0828,0726,2294,2114,0289,6053,1358,005,086,859,92,46,56,22
2025-12-18,90138,06745,75289,78587,97949,86363,40141,86173,45672,95147,6386,3480,4261,5046,6998,9552,8665,4995,1538,6435,775,279,459,72,40,88,07
2025-12-19,90372,32172,86415,91659,31679,25205,10801,54997,51827,83180,8793,3075,1110,9483,7378,3636,9559,1899,9668,8546,021,276,825,28,27,54,56
2025-12-20,52816,76456,05474,57060,42067,04192,00073,07873,03636,84836,1868,9270,1994,2684,4294,0422,2940,5783,9074,9805,133,543,763,90,11,95,61
2025-12-21,19036,39975,08585,16387,58365,20318,40444,28918,94008,43569,0340,9883,0011,3431,4645,1057,4391,9735,5383,3052,514,178,302,99,88,94,17
2025-12-22,64496,80595,07550,19880,99972,89794,13310,69213,93555,14254,2465,9988,3619,0181,4374,0983,0151,7297,5053,7931,492,608,506,80,47,46,45
2025-12-23,41059,52748,17984,24712,46769,75861,49458,62267,57655,54705,6936,1538,1295,7678,5722,2348,9360,2337,6903,7113,724,117,034,98,36,83,81
2025-12-24,87629,82908,31196,72807,12577,61956,80974,98822,33528,50449,2267,1885,4151,8775,6121,3266,8497,0987,5357,3257,752,692,446,99,95,78,80
2025-12-25,75199,30479,69837,38679,94607,07518,53043,50173,86312,12056,5898,1307,7161,9530,2970,3742,1419,7912,2616,6977,049,203,442,69,71,00,37
2025-12-26,58636,75294,24074,60697,82501,05422,17980,04000,24590,89811,6658,0571,0937,6729,9676,3588,7583,6524,3115,8814,798,369,784,45,90,17,28
2025-12-27,50982,00717,59971,36798,33935,36138,63216,88940,24428,85612,4045,2882,9413,7228,9798,2740,7577,5123,7660,2823,720,603,850,70,27,43,21
