date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2023-10-22,91918,71417,88769,4327,51414,736,72340,97988,72175,71832,6133,5179,2610,9379,5776,3154,1993,8030,4721,1483,740,282,296,92,25,24,11
2023-10-23,45844,81410,39827,16925,90991,80983,17191,17602,25316,6849,6536,204,2560,3746,908,6717,3361,8500,8619,8362,244,890,441,88,11,81,35
2023-10-24,91388,78862,77232,16765,83198,94073,76943,75283,42518,84151,2559,557,2718,5845,9655,5887,7722,2876,6540,3629,908,426,722,9,29,59,16
2023-10-25,61380,92842,86347,6283,71520,66446,66318,53849,86752,45942,1379,8549,4174,9293,1616,652,4193,3554,1132,6619,685,553,936,62,73,71,49
2023-10-26,26788,71079,79633,89149,55454,66176,86152,37472,21527,79572,476,8838,1384,2211,5306,1110,8681,7368,619,3206,623,382,600,94,0,43,95
2023-10-27,74036,90111,31208,23123,80782,5550,11973,66709,94867,90198,2407,9772,9695,9048,1855,6641,8290,9698,2413,3207,913,820,360,2,14,49,41
2023-10-28,7157,12258,78073,22472,15755,38656,8969,86598,42614,30508,6489,925,6537,1677,5598,1977,7565,9877,6528,5059,598,63,808,93,74,83,97
2023-10-29,38050,4168,83796,74143,46175,33024,87212,7984,99654,49740,4498,5248,3927,6097,9698,861,8674,7422,8367,3774,521,297,393,20,26,73,53
2023-10-30,34684,7449,68543,68556,25283,29519,54803,6974,65945,63081,7503,1183,6318,1975,2186,9701,6753,9487,4244,4899,401,623,609,36,22,50,83
2023-10-31,39267,84582,62863,95065,79114,13107,79397,7772,73053,25712,2594,2141,3225,1854,5872,5613,5111,222,9299,1476,340,709,936,6,8,98,70
2023-11-01,20136,25965,1743,60565,96391,7899,49997,26194,23877,5086,5020,6049,2639,2265,6853,5224,2100,1430,589,661,398,55,5,48,16,35,43
2023-11-02,93127,54327,25283,2829,30079,5452,64446,73945,16590,87922,2606,9611,1221,26,668,6940,7478,8435,1725,5577,276,183,585,14,12,69,84
2023-11-03,65761,49344,82925,55230,10031,99488,24592,44193,1536,2935,9661,3443,1256,653,2510,4208,3379,3936,7639,5952,932,355,850,87,62,24,69
2023-11-04,55858,39587,14699,14801,69206,21577,79651,94155,83586,76878,7685,8485,6429,5975,2775,2220,9758,7880,4704,9335,407,429,44,71,72,28,8
2023-11-05,13484,62472,97647,30290,96683,64645,65882,83382,20464,22682,6452,9102,3170,3977,7528,6996,3815,7783,1529,445,698,485,457,2,44,33,77
2023-11-06,91484,12495,39738,55566,41141,2296,53869,51007,60891,56212,5822,9346,8559,8819,6894,6444,7848,8799,114,7238,514,305,30,1,82,52,88
2023-11-07,10949,97813,40248,97258,17172,53726,16571,15018,50843,54542,2387,7105,7024,996,8370,7910,5928,1004,2693,8577,45,513,973,27,90,24,3
2023-11-08,98526,98288,98391,9260,71869,77840,71704,54410,26927,61167,9313,4352,7579,1270,1329,6820,124,2423,5389,2356,71,33,989,93,82,15,95
2023-11-09,34562,39661,67957,16661,6243,10409,80709,63247,33362,51297,7945,1349,1037,1650,4615,2896,3092,9154,8815,6908,744,249,840,22,44,97,9
2023-11-10,94670,63617,6517,67183,73264,81508,35774,70740,13362,49497,6748,376,3592,9574,7457,7387,2244,3441,9081,5173,578,528,643,2,10,21,35
